Player,Matches,KDA,Kills,Deaths,Assists,LH,DN,GPM,XPM,,
L33,09-Aug,3.63,7.53,4.76,9.76,210.47,17.47,466,506,,
Abed,07-Sep,4.62,8.31,3.63,8.44,315.25,12.31,537,573,,
Raven,07-Sep,4.48,6.75,3.13,7.25,335.31,6.88,535,523,,
Ceb,09-Jul,3.46,4.69,5.06,12.81,213.38,9.31,451,488,,
Sylar,06-Oct,5.18,8.38,3.81,11.38,290.31,7.56,547,576,,
CCnC,09-Aug,3.43,6.65,4.65,9.29,275.24,15.76,540,545,,
Sam_H,07-Sep,3.97,5.19,4,10.69,248.94,9.44,450,446,,
Solo,10-Jun,2.77,2.75,7.81,18.88,56.75,4.25,286,349,,
kpii,08-Oct,3.44,4.67,4.72,11.56,220.94,16.61,447,489,,
xNova,11-May,2.42,2.56,6.31,12.69,62.81,2.63,292,373,,
ana,09-Jul,2.93,7.25,5.94,10.13,261.25,8.69,527,544,,
Dj,07-Sep,3.68,5.81,5.31,13.75,94.88,3.31,334,409,,
Puppey,09-Aug,2.85,2.24,6.76,17.06,74.12,4.71,290,353,,
Ori,07-Sep,3.57,6.94,3.81,6.69,226.63,14.31,472,521,,
Freeze,06-Oct,3.97,6.81,4.19,9.81,251.25,8.88,494,548,,
JerAx,09-Jul,2.61,3.38,6,12.31,66.13,1.69,310,395,,
Zyd,07-Sep,3.34,6.44,4.38,8.19,230.94,9.44,484,556,,
zai,09-Aug,2.56,3.65,7.12,14.59,52.18,3.29,278,365,,
zhizhizhi,07-Sep,3.25,5.5,4.5,9.13,229.63,14.5,483,493,,
Topson,09-Jul,2.5,7.44,6.44,8.69,219.44,13.75,497,531,,
LaNm,07-Sep,3.17,2.81,4.75,12.25,77.31,3,294,429,,
Armel,07-Sep,3.08,7.44,4.81,7.38,319.75,13.5,551,575,,
kaka,08-Oct,2.53,4.28,6.83,13,93.78,3.17,330,417,,
Iceberg,06-Dec,3.2,7.5,4.61,7.28,294.22,17.28,550,565,,
Fade,06-Oct,3.11,4.75,5.69,12.94,84.56,3.13,330,416,,
Faith,08-Oct,2.32,2.33,7.39,14.78,67.44,2.67,280,360,,
nongrata,06-Dec,3.02,6.94,5,8.17,155.94,7.17,403,471,,
EternaLEnVy,07-Sep,2.53,4.88,5.31,8.56,297.75,12.88,480,521,,
Pyw,07-Sep,2.47,3.69,6.5,12.38,57.69,4.63,286,369,,
MuShi,05-Nov,3.45,7.88,4.81,8.75,298.88,13.25,520,512,,
Yang,06-Oct,2.86,4.13,5.81,12.5,199.63,10.5,412,465,,
Silent,06-Dec,2.84,4.89,5.06,9.44,234.28,11.72,469,497,,
BigDaddyN0tail,09-Jul,1.84,4.19,8.94,12.25,62.44,4.06,290,322,,
Nana,05-Nov,3.19,6.25,4.88,9.31,338.38,11.56,574,552,,
ppd,09-Aug,1.72,2,8.65,12.88,30.82,2.18,246,348,,
iceiceice,05-Nov,3.09,4.31,5.5,12.69,214.25,8.88,429,486,,
XCJ,07-Sep,2.16,2.19,6.13,11.06,33,1.75,243,312,,
TIMS,07-Sep,2.08,2.31,6.94,12.13,59.44,3.69,288,381,,
eLeVeN,07-Sep,2.02,3.94,6.63,9.44,210.31,8.38,425,499,,
Agressif,Apr-14,3.29,7,4.72,8.56,279.83,16.56,488,504,,
hFn,05-Nov,2.63,6.31,6.13,9.81,338.13,7.75,546,602,,
pieliedie,07-Sep,1.88,2.06,7.25,11.56,69.06,3.5,293,332,,
Xxs,Apr-14,3.29,6.78,4.67,8.56,320.56,12.22,574,559,,
Nofear,06-Dec,2.11,1.72,6.22,11.39,71.94,3.06,282,356,,
w33,05-Nov,2.45,8,6.38,7.63,270.25,15.13,543,540,,
Boboka,Apr-14,2.97,3.61,5.78,13.56,78.72,5.39,287,389,,
Jabz,05-Nov,2.31,4.06,7.19,12.56,83.5,1.69,319,406,,
ddc,06-Oct,1.9,2.69,9.06,14.5,47.31,2.94,251,318,,
nb,05-Nov,2.22,2.31,7.63,14.63,55.44,3.25,272,337,,
Fenrir,07-Sep,1.54,2.81,7.69,9.06,34.25,2.44,224,296,,
Kuku,07-Sep,1.51,1.81,9.5,12.56,78,3.88,286,339,,
Srf,Apr-14,2.58,4.33,5.61,10.17,181.06,9.17,385,460,,
tavo,05-Nov,1.99,4.75,7,9.19,209.5,13,431,475,,
ALWAYSWANNAFLY,06-Dec,1.55,1.78,8.78,11.83,34.33,2.22,240,291,,
Kingrd,05-Nov,1.74,2.81,9.19,13.19,59.06,3.69,281,401,,
Q,Apr-14,2.16,2.22,7.33,13.61,78.94,3.39,293,375,,
Duster,05-Nov,1.57,2.75,9.13,11.56,38.5,3.19,259,316,,
